Item,Code,Price per 10000 milliliter ($),5/25/2020,5/31/2020,"6/22/2020
","7/1/2020
","8/1/2020
","9/1/2020
"
A-Premium Dark Balsamic Vinegar,MCH220,42.0,3836,13766,10276,10046,7846,14146.0
Black Cherry Dark Balsamic Vinegar,MCH260,82.0,6252,3977,9802,16472,9262,9512.0
Black Mission Fig Dark Balsamic Vinegar,MCH216,82.0,3540,10395,5550,23640,11210,9120.0
Blackberry Ginger Dark Balsamic Vinegar,MCH106,82.0,8415,6445,11305,8405,9885,19405.0
Champagne Dark Balsamic Vinegar,MCH389,82.0,6790,5930,15930,15320,12670,8810.0
Dark Chocolate Dark Balsamic Vinegar,MCH135,82.0,10948,8918,6488,13858,7618,11688.0
Denissimo Dark Balsamic Vinegar,MCH272,120.0,16365,15680,10955,10095,27425,27045.0
Espresso Dark Balsamic Vinegar,MCH139,82.0,10848,9818,9818,8258,13988,17128.0
Lavender Dark Balsamic Vinegar,MCH107,82.0,9039,8809,6679,12709,7189,7249.0
Neapolitan Herb Dark Balsamic Vinegar,MCH259,82.0,3303,11348,17303,22173,19370,25360.0
Organic Dark Balsamic Vinegar,MCH158,82.0,1503,10703,9773,9303,8533,7933.0
Pomegranate Dark Balsamic Vinegar,MCH256,82.0,5945,13775,12085,10445,15365,6625.0
Raspberry Dark Balsamic Vinegar,MCH305,82.0,1041,9936,14941,13781,4781,4581.0
Strawberry Dark Balsamic Vinegar,MCH241,82.0,7245,15115,12135,11265,5725,9475.0
Tangerine Dark Balsamic Vinegar,MCH110,82.0,1766,9766,7146,17006,11316,5096.0
Traditional Dark Balsamic Vinegar,MCH214,82.0,4761,15166,18821,22171,20000,32850.0
Vermont Maple Dark Balsamic Vinegar,MCH140,82.0,3422,12352,10092,9062,14332,9512.0
Wild Blueberry Dark Balsamic Vinegar,MCH257,82.0,3718,11448,10218,8488,1518,13918.0
A-Premium White Balsamic Vinegar,MCH316,42.0,12132,12132,11732,11732,8622,15982.0
Blenheim Apricot White Balsamic Vinegar,MCH265,72.0,9608,7738,4818,11348,6668,6708.0
Cara Cara Orange Vanilla White Balsamic Vinegar,MCH391,72.0,4799,3579,10399,9699,15969,6009.0
Cascadian Wild Raspberry White Balsamic Vinegar,MCH270,72.0,11189,9329,15709,12549,10729,10719.0
Coconut White Balsamic Vinegar,MCH109,72.0,20525,18415,17035,14405,7935,9975.0
Cranberry Pear White Balsamic Vinegar,MCH307,72.0,8858,6123,15188,23108,11458,4448.0
Golden Pineapple White Balsamic Vinegar,MCH111,72.0,18287,16007,14567,12207,14767,6387.0
Grapefruit White Balsamic Vinegar,MCH136,72.0,9169,7339,14739,11869,16409,5839.0
Gravenstein Apple White Balsamic Vinegar,MCH269,72.0,5666,4666,11006,9736,13506,9146.0
Honey Ginger White Balsamic Vinegar,MCH138,72.0,12100,12290,9220,16810,30,12830.0
Key Lime White Balsamic Vinegar,MCH274,72.0,5594,4124,12794,12494,7794,12514.0
Pomegranate Quince White Balsamic Vinegar,MCH390,72.0,17355,16265,14805,12505,15185,11415.0
Ripe Peach White Balsamic Vinegar,MCH114,72.0,4657,13532,16857,22437,8857,6017.0
Sicillan Lemon White Balsamic Vinegar,MCH112,72.0,212,7472,11842,25662,282,8522.0
Thai Lemongrass & Mint White Balsamic Vinegar,MCH264,72.0,11188,9848,8818,16888,9148,7948.0
Champagne Wine Speciality Vinegar,MCH331,43.0,4710,14270,12470,12010,8860,13690.0
Serrano Honey Speciality Vinegar,MCH268,80.0,13291,12761,10771,8731,12511,14101.0
Sherry Reserva Wine Speciality Vinegar,MCH219,55.0,5085,4685,14285,13885,12855,10715.0
Arbequina Seasonal Extra Virgin Olive Oil (Mild from Chile),IOO024,80.0,0,0,0,0,0,0.0
Arbosana Seasonal Extra Virgin Olive Oil (Medium from Chile),IOO368,75.0,0,0,0,0,0,0.0
Biancolilla Extra Virgin Olive Oil (Medium Oil from Italy),IOO894,69.4,1170,12045,7510,14190,120,1250.0
Chetoui Organic Extra VIrgin Olive Oil,IOG855,69.0,1485,0,0,0,0,0.0
Chiquitita Extra Virgin Olive Oil (Mild Oil from Portugal),IOO566,68.6,111,111,8311,6481,191,0.0
